effective_date,policy_rate_pct,note
2020-06-25,7.00,COVID-era easing cycle bottom (verify latest values at sbp.org.pk)
2021-09-14,7.25,Tightening begins
2021-11-19,8.75,Inflation pressure
2021-12-14,9.75,Continued tightening
2022-04-07,12.25,Front-loaded hike amid external pressures
2022-05-23,13.75,Energy price pass-through
2022-07-07,15.00,Demand compression
2022-11-25,16.00,Price stability focus
2023-01-23,17.00,FX crisis
2023-03-02,20.00,IMF programme pressures
2023-04-04,21.00,Inflation at multi-decade high
2023-06-26,22.00,Historic peak
2024-06-10,20.50,Easing cycle begins
2024-07-29,19.50,Second cut
2024-09-12,17.50,Sharper cut as disinflation accelerates
2024-11-04,15.00,Continued easing
2024-12-16,13.00,Fifth consecutive cut
2025-01-27,12.00,Easing continues
2025-05-05,11.00,Post-disinflation normalisation
